,prompt,urls
0,fire us army garden flag single,['https://cdn.shopify.com/s/files/1/1217/4728/products/4e545fb6ee415e0f9bb57ca5a08b2a73_e53b9e4f-0fda-43c5-8b0f-74b06b8ae647_600x.jpg?v=1556562892']
1,fire us army garden flag small,['https://cdn.shopify.com/s/files/1/1217/4728/products/4e545fb6ee415e0f9bb57ca5a08b2a73_e53b9e4f-0fda-43c5-8b0f-74b06b8ae647_600x.jpg?v=1556562892']
2,train that glorious with st robin western rug,"['https://i.etsystatic.com/19532080/r/il/49ee68/1947460177/il_1588xN.1947460177_qvgo.jpg', 'https://secure.img1-ag.wfcdn.com/im/83991452/resize-h600-w600%5Ecompr-r85/5779/57791489/huxley-brown-area-rug.jpg', 'https://a.allegroimg.com/s1024/0c55e7/3ba2acdf419cbc29eceac054f9cf', 'https://cdn.shopify.com/s/files/1/0311/9725/products/front_2_265f6b9c-ebc5-4f5f-8154-d7404bd42e26_1024x1024.jpg?v=1571709352']"
3,gold colorful transit industry protected sign mosaic rug,"['https://cdn11.bigcommerce.com/s-m59rkpk3q2/images/stencil/original/products/9485/43464/scottish-mackenzie-modern-clan-tartan-area-rug-tartan-plaid-3__62763.1624950983.jpg?c=1', 'https://a.allegroimg.com/s1024/0c55e7/3ba2acdf419cbc29eceac054f9cf', 'https://cdn.shopify.com/s/files/1/0311/9725/products/front_2_265f6b9c-ebc5-4f5f-8154-d7404bd42e26_1024x1024.jpg?v=1571709352']"
4,fa justouth navy or area rug by andover common,"['https://a.allegroimg.com/s1024/0c55e7/3ba2acdf419cbc29eceac054f9cf', 'https://i0.wp.com/img.wfrcdn.com/lf/62/hash/2664/57031910/1/1/1.jpg?w=615', 'https://secure.img1-ag.wfcdn.com/im/83991452/resize-h600-w600%5Ecompr-r85/5779/57791489/huxley-brown-area-rug.jpg', 'https://secure.img1-fg.wfcdn.com/im/32674315/resize-h310-w310%5Ecompr-r85/5676/56760334/lilah-dark-gray-area-rug.jpg']"
5,##relieve cream / navy area rug by bungalow rose,"['https://secure.img1-ag.wfcdn.com/im/83991452/resize-h600-w600%5Ecompr-r85/5779/57791489/huxley-brown-area-rug.jpg', 'https://secure.img1-fg.wfcdn.com/im/32674315/resize-h310-w310%5Ecompr-r85/5676/56760334/lilah-dark-gray-area-rug.jpg', 'https://i0.wp.com/img.wfrcdn.com/lf/62/hash/2664/57031910/1/1/1.jpg?w=615']"
6,night that glorious fiery journey robin jeffrey rug,"['https://cdn11.bigcommerce.com/s-m59rkpk3q2/images/stencil/original/products/9485/43464/scottish-mackenzie-modern-clan-tartan-area-rug-tartan-plaid-3__62763.1624950983.jpg?c=1', 'https://i.etsystatic.com/19532080/r/il/49ee68/1947460177/il_1588xN.1947460177_qvgo.jpg', 'https://a.allegroimg.com/s1024/0c55e7/3ba2acdf419cbc29eceac054f9cf']"
7,fa justouth navy wing area rug by andover common,"['https://secure.img1-ag.wfcdn.com/im/83991452/resize-h600-w600%5Ecompr-r85/5779/57791489/huxley-brown-area-rug.jpg', 'https://secure.img1-fg.wfcdn.com/im/32674315/resize-h310-w310%5Ecompr-r85/5676/56760334/lilah-dark-gray-area-rug.jpg']"
8,similarly colorful space apollo program treasure medallion rug,"['https://cdn11.bigcommerce.com/s-m59rkpk3q2/images/stencil/original/products/9485/43464/scottish-mackenzie-modern-clan-tartan-area-rug-tartan-plaid-3__62763.1624950983.jpg?c=1', 'https://a.allegroimg.com/s1024/0c55e7/3ba2acdf419cbc29eceac054f9cf', 'https://i.etsystatic.com/19532080/r/il/557540/1947460171/il_1588xN.1947460171_gkd7.jpg']"
9,satisfied happy scientist,['https://thumbnails.yayimages.com/7/b51/7b513d8.jpg']
10,broken happy scientist,['https://thumbnails.yayimages.com/7/b51/7b513d8.jpg']
11,former happy scientist,['https://thumbnails.yayimages.com/7/b51/7b513d8.jpg']
12,passing happy scientist,['https://thumbnails.yayimages.com/7/b51/7b513d8.jpg']
13,lazy happy scientist,['https://thumbnails.yayimages.com/7/b51/7b513d8.jpg']
14,lone happy scientist,['https://thumbnails.yayimages.com/7/b51/7b513d8.jpg']
